,Measure,Anno,GLM,ARX,NAX
0,RMSE,2012,26689.147694877745,26130.52505316969,8014.085428442282
1,MAPE,2012,0.058057903084364725,0.05660112957884726,0.016751362618994566
2,APL,2012,7433.116685915699,7240.685500446471,2237.596478095717
3,LRU,2012,0.3041249299863413,1.7594811610808712,7.546271374775664
4,LRC,2012,33.260154935261426,27.346733002102678,14.558821069411373
5,RMSE,2013,31033.08814201312,31022.658515844287,8888.808586339825
6,MAPE,2013,0.06382826801569161,0.06467991276914126,0.018815167528780454
7,APL,2013,8256.054836535086,8329.35736639134,2367.2304933162027
8,LRU,2013,14.338006860131433,19.00017821188128,11.50950231822488
9,LRC,2013,78.59609743134048,74.01361949331799,14.627260614085477
10,RMSE,2014,26780.210032023242,26971.472294148094,9708.654595354632
11,MAPE,2014,0.060637110583531745,0.06081401000046621,0.022525982910692632
12,APL,2014,7638.754468888942,7698.036447421226,2786.235116881262
13,LRU,2014,1.206507912912262,1.7425411517421425,42.715690365583804
14,LRC,2014,20.03304836081903,14.709790254867753,61.23850278171335
15,RMSE,2015,28508.15367245025,28251.82106419892,10016.230262641797
16,MAPE,2015,0.06440312637851933,0.06269596602428115,0.022100636293453255
17,APL,2015,7985.796789280469,7849.403989154215,2746.4936464977336
18,LRU,2015,1.7425411517421425,3.8729577734354175,1.2342791563451931
19,LRC,2015,30.3848153024446,37.68938608747238,11.808874211855631
20,RMSE,2016,28183.902648925483,27761.401214491765,7300.497111440328
21,MAPE,2016,0.06300862031056301,0.06165717461801348,0.016768059932392675
22,APL,2016,7810.80978738285,7623.756284669711,2034.4617664429384
23,LRU,2016,1.206507912912262,1.7425411517421425,4.804237572994916
24,LRC,2016,25.199199811510038,35.23473222840359,10.659593759024393
